trip_id,arrival_time,departure_time,stop_id,stop_name,stop_lat,stop_lon,route_id,route_short_name,route_long_name,date
20241204-17-17740,22:07:00,22:07:00,01007,Main St. W. @ Caroline St. S.,43.2570419,-79.8766251,08241224-17,17,Waterloo / Hamilton,20241204
20241205-41-41061,08:43:00,08:43:00,01012,Main St. W. @ Ray St. S.,43.257885,-79.8809128,08241224-41,41,Hamilton / Pickering,20241205
20241211-56-56024,07:45:00,07:45:00,00137,Oakville GO Bus,43.455966,-79.681676,12240125-56,56,Oshawa / Oakville,20241211
20241218-25-25140,08:05:00,08:05:00,00337,Brock Rd. @ McLean Rd. (Aberfoyle) Park & Ride,43.4609909,-80.133667,12240125-25,25,Waterloo / Mississauga,20241218
20241214-29-29780,19:56:00,19:56:00,01718,Brock Rd. S. @ Maple Leaf Ln.,43.4715347,-80.1500168,12240125-29,29,Guelph / Mississauga,20241214
20241130-27-27101,07:20:00,07:20:00,00129,Meadowvale GO Bus,43.597499,-79.754517,08241224-27,27,Milton / North York,20241130
20241126-48-48061,07:20:00,07:20:00,02721,Gordon St. @ Stone Rd.,43.5272921676036,-80.2256214441709,08241224-48,48,Guelph / Hwy 407 Terminal,20241126
20241216-68-68830,18:49:00,18:49:00,01515,Holland St. E. @ Colborne St.,44.1152649,-79.5600662,12240125-68,68,Barrie / Newmarket,20241216
20241218-15-15261,13:21:00,13:21:00,02607,Wayne Gretzky Pwky. @ Henry St.,43.1545525,-80.2395554,12240125-15,15,Brantford / Aldershot,20241218
20241221-16-16361,13:12:00,13:12:00,01013,Main St. W. @ Poulette St.,43.2591286,-79.8864059,12240125-16,16,Hamilton / Toronto Express,20241221
20241202-17-17740,20:50:00,20:50:00,02519,Guelph Central GO Bus,43.544932,-80.246388,08241224-17,17,Waterloo / Hamilton,20241202
20241214-36-36360,13:25:00,13:25:00,00019,Yorkdale Bus Terminal,43.7249374,-79.4488754,12240125-36,36,Brampton / North York Express,20241214
20241209-33-33490,13:20:00,13:20:00,01706,Elizabeth St. @ Victoria Rd. S.,43.5553131,-80.2293396,12240125-33,33,Guelph / North York,20241209
20250101-96-96570,17:50:00,17:50:00,00736,Finch Bus Terminal,43.7819481,-79.4159088,12240125-96,96,Oshawa / Finch Express,20250101
20241127-17-17270,10:12:00,10:12:00,02819,Victoria St. N. @ Frederick St.,43.4661769073305,-80.4573893890337,08241224-17,17,Waterloo / Hamilton,20241127
20241210-33-33580,16:45:00,16:45:00,00221,Brampton Bus Terminal,43.6869087,-79.7628632,12240125-33,33,Guelph / North York,20241210
20241229-31-31931,26:21:00,26:21:00,00221,Brampton Bus Terminal,43.6869087,-79.7628632,12240125-31,31,Guelph / Toronto,20241229
20241213-94-94210,08:20:00,08:20:00,00147,Pickering GO Bus,43.830982,-79.084571,12240125-94,94,Pickering / Square One,20241213
20241213-41-41190,10:58:00,10:58:00,00726,Liverpool Rd. @ Pickering Pkwy.,43.83299,-79.0894,12240125-41,41,Hamilton / Pickering,20241213
20241219-41-41431,14:57:00,14:57:00,02771,Yonge St. @ Hwy. 407,43.8384664250903,-79.4293096916894,12240125-41,41,Hamilton / Pickering,20241219
20250103-MI-2710,06:50:00,06:50:00,SR,Streetsville GO,43.575584,-79.70882,12240125-MI,MI,Milton,20250103
20241204-25-25040,06:26:00,06:26:00,02151,Regional Rd. 25 @ Hwy. 401 Park & Ride,43.5274849,-79.9038162,08241224-25,25,Waterloo / Mississauga,20241204
20241209-48-48630,16:30:00,16:30:00,00129,Meadowvale GO Bus,43.597499,-79.754517,12240125-48,48,Guelph / Hwy 407 Terminal,20241209
20241129-94-94830,23:13:00,23:13:00,00020,Hwy. 401 @ Keele St.,43.7232399,-79.4819412,08241224-94,94,Pickering / Square One,20241129
20241225-29-29280,09:21:00,09:21:00,02151,Regional Rd. 25 @ Hwy. 401 Park & Ride,43.5274849,-79.9038162,12240125-29,29,Guelph / Mississauga,20241225
20241220-MI-2741,18:46:00,18:46:00,LS,Lisgar GO,43.590791,-79.788539,12240125-MI,MI,Milton,20241220
20241224-25-25460,16:07:00,16:07:00,02636,Winston Churchill Transitway Station,43.5417557,-79.7129898,12240125-25,25,Waterloo / Mississauga,20241224
